fid;cat;value;ws_id;area;precip_mn;PET_mn;AET_mn;wyield_mn;wyield_vol
40;38;128;40;352;98.73177083333;100.28089161001;82.52331090301;16.20845993033;57029,23208
95;95;178;95;324;101.90058016878;101.71082736487;83.52591002247;18.37467014871;59406,17744
80;81;96;80;378;101.08333333333;101.00859059088;84.43202839800;16.65130494322;62864,62626
31;31;20;31;557;96.06083937198;101.36512245830;83.37695287553;12.68388651974;70654,18556
107;111;82;107;420;102.83333333333;99.58388532417;83.10739721500;19.72593611834;82867,95784
59;60;162;59;503;99.95309381238;102.19094425004;83.42322050899;16.52987329967;83162,71293
1;7;8;1;866;93.12107101281;104.08533748907;83.18129989837;9.93977111444;85991,22086
19;20;16;19;975;93.82161458333;103.53551673066;83.31768887061;10.50392571075;102365,7126
45;46;126;45;681;98.92000990589;100.75104667307;82.77342588930;16.14658401659;109795,155
78;78;106;78;665;101.31739457831;103.60614975404;84.37497553502;16.94241904045;112500,9601
102;105;84;102;825;103.15941152761;101.29929920755;83.99843094849;19.16098057865;157949,3203
34;34;30;34;1742;96.24769982749;106.61399049654;85.47780717695;10.76989265301;187520,6686
32;30;32;32;1739;95.44214162349;103.95894922659;84.33597590649;11.10616571865;193014,6438
3;1;10;3;1868;93.75881278539;103.48366890565;83.22332137375;10.53549141544;196666,8847
58;58;38;58;1737;97.37459858703;105.89992490847;85.96222015238;11.41237843465;198100,78
101;101;70;101;1526;102.41108190977;104.02294731738;87.68415940251;14.72692250425;224628,8853
65;66;42;65;1588;98.64798395609;103.02371975560;84.31161665387;14.33636730970;227510,1882
81;82;104;81;1482;101.62457511897;101.17237254775;86.15238593573;15.47218918375;229044,8427
74;73;46;74;1709;100.18726756704;104.96385815733;86.35319456687;13.83407300282;236247,4559
83;80;94;83;1394;101.30611510791;102.67806694897;84.33890206700;16.96721304091;236289,7944
7;9;136;7;1848;96.37322791712;105.54968698218;83.52358348788;12.84964442649;237307,2147
27;27;22;27;1846;96.66051212938;104.21513702778;83.69044950154;12.97006261463;239312,0173
109;109;56;109;1738;100.96434683400;104.51325734199;87.15370114809;13.81064567681;239895,2435
44;41;192;44;1553;98.09588136407;101.54642084268;82.56692268136;15.52895868376;240947,8246
30;32;142;30;1541;98.19029931094;100.21486748942;82.03457745338;16.15572184390;248790,0146
97;97;86;97;1253;102.62784471218;98.91981085706;82.76080171251;19.86704299967;248807,8512
68;62;186;68;1567;99.77921455939;101.49019891081;83.23310219828;16.54611236111;259133,3828
43;44;190;43;1640;98.43662613982;100.65428709061;82.39394216959;16.04268397289;262835,6992
28;28;146;28;1783;97.86755029141;102.39577875207;82.96963236643;14.89791792498;265380,1877
25;26;24;25;2137;96.40899483326;107.28197992000;83.60848922918;12.80050558655;273393,2356
39;29;194;39;1793;97.50522290617;100.55401767005;82.02823744613;15.47698546004;277302,2942
11;14;14;11;2387;95.62743040985;103.22238176681;83.73441018012;11.89302022824;283681,6598
48;49;124;48;1751;99.44298745724;101.06519863953;82.91350060802;16.52948685176;289162,6718
104;100;66;104;1989;102.43456572770;104.02988270050;87.77266980236;14.66189592591;291466,3391
119;119;58;119;1906;101.75870147256;102.47580213606;86.33926090248;15.41944054938;293733,768
53;53;40;53;2313;97.71890278976;105.05903472239;85.00129108527;12.71761169065;293888,2528
90;89;176;90;1590;102.59815278647;101.60432689446;83.91816539330;18.67998739316;296775,4071
49;48;164;49;1835;99.67928323277;102.09151633344;83.42668644626;16.25259678548;298030,5323
14;15;156;14;2034;97.53575519555;101.78973443883;82.65300694303;14.88274825253;302535,9617
99;102;172;99;1672;103.30433273845;101.38957028414;85.05913512690;18.24519760812;304741,4439
23;25;196;23;1896;97.79735159817;99.50686893186;81.66838227951;16.12896931986;305601,1102
